Date,Inflation Rate
1/04/2012,0.023
1/03/2012,0.0265
1/02/2012,0.0287
1/01/2012,0.0293
1/12/2011,0.0296
1/11/2011,0.0339
1/10/2011,0.0353
1/09/2011,0.0387
1/08/2011,0.0377
1/07/2011,0.0363
1/06/2011,0.0356
1/05/2011,0.0357
1/04/2011,0.0316
1/03/2011,0.0268
1/02/2011,0.0211
1/01/2011,0.0163
1/12/2010,0.015
1/11/2010,0.0114
1/10/2010,0.0117
1/09/2010,0.0114
1/08/2010,0.0115
1/07/2010,0.0124
1/06/2010,0.0105
1/05/2010,0.0202
1/04/2010,0.0224
1/03/2010,0.0231
1/02/2010,0.0214
1/01/2010,0.0263
1/12/2009,0.0272
1/11/2009,0.0184
1/10/2009,-0.0018
1/09/2009,-0.0129
1/08/2009,-0.0148
1/07/2009,-0.021
1/06/2009,-0.0143
1/05/2009,-0.0128
1/04/2009,-0.0074
1/03/2009,-0.0038
1/02/2009,0.0024
1/01/2009,0.0003
1/12/2008,0.0009
1/11/2008,0.0107
1/10/2008,0.0366
1/09/2008,0.0494
1/08/2008,0.0537
1/07/2008,0.056
1/06/2008,0.0502
1/05/2008,0.0418
1/04/2008,0.0394
1/03/2008,0.0398
1/02/2008,0.0403
1/01/2008,0.0428
1/12/2007,0.0408
1/11/2007,0.0431
1/10/2007,0.0354
1/09/2007,0.0276
1/08/2007,0.0197
1/07/2007,0.0236
1/06/2007,0.0269
1/05/2007,0.0269
1/04/2007,0.0257
1/03/2007,0.0278
1/02/2007,0.0242
1/01/2007,0.0208
1/12/2006,0.0254
1/11/2006,0.0197
1/10/2006,0.0131
1/09/2006,0.0206
1/08/2006,0.0382
1/07/2006,0.0415
1/06/2006,0.0432
1/05/2006,0.0417
1/04/2006,0.0355
1/03/2006,0.0336
1/02/2006,0.036
1/01/2006,0.0399
1/12/2005,0.0342
1/11/2005,0.0346
1/10/2005,0.0435
1/09/2005,0.0469
1/08/2005,0.0364
1/07/2005,0.0317
1/06/2005,0.0253
1/05/2005,0.028
1/04/2005,0.0351
1/03/2005,0.0315
1/02/2005,0.0301
1/01/2005,0.0297
1/12/2004,0.0326
1/11/2004,0.0352
1/10/2004,0.0319
1/09/2004,0.0254
1/08/2004,0.0265
1/07/2004,0.0299
1/06/2004,0.0327
1/05/2004,0.0305
1/04/2004,0.0229
1/03/2004,0.0174
1/02/2004,0.0169
1/01/2004,0.0193
1/12/2003,0.0188
1/11/2003,0.0177
1/10/2003,0.0204
1/09/2003,0.0232
1/08/2003,0.0216
1/07/2003,0.0211
1/06/2003,0.0211
1/05/2003,0.0206
1/04/2003,0.0223
1/03/2003,0.0302
1/02/2003,0.0298
1/01/2003,0.026
